AAAA 01 0C FF EDFF6E002500002B9C0000A6
AAAA 02 14 00 34FFF807E7FFFE00000000000000000000000080
AAAA 02 14 00 33FFF207EC00000000FFFD00000000000000007D
AAAA F1 12 00 000000000000000000001000000000FFDC42
AAAA F2 12 00 000000000000000000FFFC000000000D48A8
AAAA 03 14 00 000000000000000000000000000000000000006B
AAAA 05 04 01 8A01F4DD
AAAA 06 10 00 0000000000000000000000000000006
AAAA A0 70 60 01109320000AD
AAAA 02 14 00 39FFF807F1FFFF00010000000000000000000091
AAAA 01 0C FF EDFF6E002500002B9B0000A5
AAAA 02 14 00 34FFF207E30000FFFF0000000000000000000077
AAAA F1 12 00 000000000000000000001000000000FFDD43
AAAA F2 12 00 000000000000000000FFFC000000000D48A8
AAAA 02 14 00 35FFF307E40000FFFF000200000000000000007C
AAAA 02 14 00 32FFF507F300000000000000000000000000008
AAAA AF 11 20 0000000000000000000001000000000FFDD43
AAAA F2 12 00 000000000000000000FFFC000000000D48A8
AAAA 03 14 00 000000000000000000000000000000000000006B
AAAA 06 10 00 0000000000000000000000000000006
AAAA A0 70 60 011089300000D
AAAA 01 0C FF EDFF6E002500002B9B0000A5
AAAA 02 14 00 37FFF607E4000000010000000000000000000082
AAAA 02 14 00 32FFFC07DFFFFF0002000100000000000000007E
AAAA F1 12 00 000000000000000000001000000000FFDE44
AAAA F2 12 00 000000000000000000FFFC000000000D48A8
AAAA 02 14 00 31FFF407E3000000000000000000000000000078
AAAA 01 0C FF EDFF6E002500002B9B0000A5
AAAA 02 14 00 37FFF307E7FFFE0001000000000000000000007F
AAAA F1 12 00 000000000000000000001000000000FFDE44
AAAA F2 12 00 000000000000000000FFFB000000000D48A7
AAAA 03 14 00 000000000000000000000000000000000000006B
AAAA 06 10 00 0000000000000000000000000000006
AAAA A0 70 60 011089300000D
AAAA 02 14 00 32FFF707E40000FFFF000000000000000000007B
AAAA 02 14 00 2CFFEF07E9000000000000000000000000000074
AAAA F1 12 00 000000000000000000001000000000FFDF45
AAAA F2 12 00 000000000000000000FFFB000000000D48A7
AAAA 05 04 01 8A01F4DD
AAAA 01 0C FF EDFF6E002500002B9B0000A5
AAAA 02 14 00 38FFF507EB00000000FFFF000000000000000086
AAAA 02 14 00 33FFF407ECFFFF00030000000000000000000084
AAAA F1 12 00 000000000000000000001000000000FFDF45
AAAA F2 12 00 000000000000000000FFFC000000000D48A8
AAAA 03 14 00 000000000000000000000000000000000000006B
AAAA 06 10 00 0000000000000000000000000000006
AAAA A0 70 60 0110AD9000055
AAAA 02 14 00 36FFF107ED0000FFFE0000000000000000000081
AAAA 01 0C FF EEFF6E002500002BA00000AB
AAAA 02 14 00 2EFFF207E7000000000000000000000000000077
AAAA F1 12 00 000000000000000000001000000000FFE046
AAAA F2 12 00 000000000000000000FFFE000000000D48
AAAA AA 02 14 002FFFF607EA00000001FFFE00000000000000007D
AAAA 02 14 00 31FFF407E7FFFE0000000100000000000000007
AAAA AF 11 20 0000000000000000000001000000000FFE147
AAAA F2 12 00 000000000000000000FFFF000000000D48AB
AAAA 03 14 00 000000000000000000000000000000000000006B
AAAA 06 10 00 0000000000000000000000000000006
AAAA A0 70 60 0110AD9000055
AAAA 01 0C FF EEFF6E002500002BA00000AB
AAAA 02 14 00 3AFFF607EAFFFF00000000000000000000000088
AAAA 02 14 00 35FFF007F0FFFE00000000000000000000000082
AAAA F1 12 00 000000000000000000001000000000FFE147
AAAA F2 12 00 0000000000000000000000000000000D48AD
AAAA 02 14 00 2DFFF807DF00000000FFFD000000000000000070
AAAA 01 0C FF EEFF6E002500002BA00000AB
AAAA 02 14 00 38FFF007EDFFFE00020001000000000000000085
AAAA F1 12 00 000000000000000000001000000000FFE248
AAAA F2 12 00 0000000000000000000000000000000D48AD
AAAA 03 14 00 000000000000000000000000000000000000006B
AAAA 05 04 01 8A01F4DD
AAAA 06 10 00 0000000000000000000000000000006
AAAA A0 70 60 0110AD9000055
AAAA 02 14 00 31FFF007ECFFFE0002000100000000000000007D
AAAA 02 14 00 36FFFB07E5000000000001000000000000000087
AAAA F1 12 00 000000000000000000001100000000FFE249
AAAA F2 12 00 0000000000000000000000000000000D48AD
AAAA 01 0C FF EEFF6E002500002BA00000AB
AAAA 02 14 00 33FFEF07E10000FFFF0000000000000000000071
AAAA 02 14 00 33FFF507FEFFFE00020000000000000000000095
AAAA F1 12 00 000000000000000000001100000000FFE34
AAAA AF 21 20 00000000000000000000000000000000D48AD
AAAA 03 14 00 000000000000000000000000000000000000006B
AAAA 06 10 00 0000000000000000000000000000006
AAAA A0 70 60 0110AA4000020
AAAA 02 14 00 2BFFEC07F2FFFF00000001000000000000000078
AAAA 01 0C FF EEFF6E002500002BA00000AB
AAAA 02 14 00 2BFFEF07EAFFFD00010000000000000000000071
AAAA F1 12 00 000000000000000000001100000000FFE34
AAAA AF 21 20 00000000000000000000000000000000D48AD
